vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
VTS,2010-01-31 15:24:00,2010-01-31 15:33:00,1,1.92,-73.99292699999998,40.742517,1,,-73.971607,40.755355,CAS,7.3,0.0,0.5,0.0,0.0,7.8
VTS,2010-01-10 21:15:00,2010-01-10 21:24:00,1,1.74,-73.987047,40.7211,1,,-74.007147,40.707133,Cre,6.9,0.5,0.5,3.0,0.0,10.9
VTS,2010-01-07 07:02:00,2010-01-07 07:15:00,5,5.49,-74.007427,40.7034,1,,-73.967083,40.760315,CAS,14.5,0.0,0.5,0.0,0.0,15.0
VTS,2010-01-21 17:45:00,2010-01-21 18:09:00,1,5.29,-73.964168,40.75995,1,,-73.986783,40.768815,CAS,16.5,1.0,0.5,0.0,0.0,18.0
VTS,2010-01-16 23:58:00,2010-01-17 00:10:00,5,1.6,-74.0087,40.711293,1,,-73.9885,40.718588,CAS,8.099999999999998,0.5,0.5,0.0,0.0,9.1
VTS,2010-01-16 22:35:00,2010-01-16 22:51:00,1,3.39,-73.99396199999998,40.745838,1,,-73.956433,40.773155,Cre,11.3,0.5,0.5,0.0,0.0,12.3
VTS,2010-01-19 05:43:00,2010-01-19 05:50:00,1,0.99,-73.988752,40.748447,1,,-73.974705,40.74157,Cre,5.7,0.5,0.5,0.8,0.0,7.5
VTS,2010-01-25 09:07:00,2010-01-25 09:21:00,2,1.55,-73.971962,40.746488,1,,-73.974535,40.763517,CAS,8.9,0.0,0.5,0.0,0.0,9.4
VTS,2010-01-15 17:19:00,2010-01-15 17:26:00,2,2.08,-73.955938,40.787532,1,,-73.956063,40.78758,CAS,7.3,1.0,0.5,0.0,0.0,8.8
VTS,2010-01-25 17:22:00,2010-01-25 17:37:00,1,2.91,-73.89260199999998,40.754835,1,,-73.93759199999998,40.745313,CAS,10.9,1.0,0.5,0.0,0.0,12.4
VTS,2010-01-30 00:13:00,2010-01-30 00:24:00,1,2.83,-73.97311999999998,40.795037,1,,-73.961903,40.767105,CAS,8.9,0.5,0.5,0.0,0.0,9.9
VTS,2010-01-16 19:38:00,2010-01-16 19:53:00,5,2.62,-73.993465,40.747748,1,,-73.99755299999998,40.719418,CAS,10.5,0.0,0.5,0.0,0.0,11.0
