ID,Year,Olympic_CC,GDP,Population
24592,1990,PSE,,1978248
24593,1991,PSE,,2068845
24594,1992,PSE,,2163591
24595,1993,PSE,,2262676
24596,1994,PSE,1945.05,2366298
24597,1995,PSE,2033.95,2474666
24598,1996,PSE,2124.54,2587997
24599,1997,PSE,2560.64,2706518
24600,1998,PSE,3178.09,2776568
24601,1999,PSE,3710.12,2848431
24602,2000,PSE,3331.36,2922153
24603,2001,PSE,3106.93,2997784
24604,2002,PSE,3031.45,3075373
24605,2003,PSE,3303.08,3154969
24606,2004,PSE,3592.67,3236626
24607,2005,PSE,4010.15,3320396
24608,2006,PSE,3844.39,3406334
24609,2007,PSE,3780.69,3494496
24610,2008,PSE,3470.02,3596688
24611,2009,PSE,4045.13,3702218
24612,2010,PSE,4088.34,3811102
24613,2011,PSE,4356.34,3927051
24614,2012,PSE,4931,4046901
24615,2013,PSE,4655.15,4169506
24616,2014,PSE,4550.37,4294682
24617,2015,PSE,5019.24,4422143
24618,2016,PSE,5109.71,4551566
24619,2017,PSE,4885.34,4684777
24620,1990,PUR,14366.16,3537000
24621,1991,PUR,15079.36,3562110
24622,1992,PUR,16023.26,3585176
24623,1993,PUR,17022.44,3615497
24624,1994,PUR,17944.96,3649237
24625,1995,PUR,18976.46,3683103
24626,1996,PUR,19549.41,3724655
24627,1997,PUR,20661.45,3759430
24628,1998,PUR,21914.49,3781101
24629,1999,PUR,23331.93,3800081
24630,2000,PUR,24575.58,3810605
24631,2001,PUR,26665.4,3818774
24632,2002,PUR,27287.67,3823701
24633,2003,PUR,27829.24,3826095
24634,2004,PUR,31089.74,3826878
24635,2005,PUR,31497.84,3821362
24636,2006,PUR,32143.74,3805214
24637,2007,PUR,32807.19,3782995
24638,2008,PUR,33027.02,3760866
24639,2009,PUR,32806.55,3740410
24640,2010,PUR,33237.82,3721525
24641,2011,PUR,34195.64,3678732
24642,2012,PUR,35259.81,3634488
24643,2013,PUR,36130.99,3593077
24644,2014,PUR,36940,3534874
24645,2015,PUR,37581.03,3473177
24646,2016,PUR,37793.92,3406520
24647,2017,PUR,,3337177
24648,1990,PYF,,198375
24649,1991,PYF,,202016
24650,1992,PYF,,205266
24651,1993,PYF,,208345
24652,1994,PYF,,211579
24653,1995,PYF,,215196
24654,1996,PYF,,219283
24655,1997,PYF,,223731
24656,1998,PYF,,228376
24657,1999,PYF,,232952
24658,2000,PYF,,237258
24659,2001,PYF,,241273
24660,2002,PYF,,245006
24661,2003,PYF,,248499
24662,2004,PYF,,251775
24663,2005,PYF,,254886
24664,2006,PYF,,257832
24665,2007,PYF,,260594
24666,2008,PYF,,263179
24667,2009,PYF,,265581
24668,2010,PYF,,267820
24669,2011,PYF,,269843
24670,2012,PYF,,271703
24671,2013,PYF,,273528
24672,2014,PYF,,275484
24673,2015,PYF,,277690
24674,2016,PYF,,280208
24675,2017,PYF,,283007
24676,1990,QAT,,476445
24677,1991,QAT,,487491
24678,1992,QAT,,495517
24679,1993,QAT,,501566
24680,1994,QAT,,507095
24681,1995,QAT,,513455
24682,1996,QAT,,522304
24683,1997,QAT,,534608
24684,1998,QAT,,550430
24685,1999,QAT,,569447
24686,2000,QAT,85860.61,592267
24687,2001,QAT,87599.3,616886
24688,2002,QAT,91083.79,645659
24689,2003,QAT,90348.99,688586
24690,2004,QAT,100426.55,758855
24691,2005,QAT,97767.19,864863
24692,2006,QAT,108831.25,1010382
24693,2007,QAT,111959.86,1189633
24694,2008,QAT,115012.45,1389342
24695,2009,QAT,113312.85,1590780
24696,2010,QAT,122609.41,1779676
24697,2011,QAT,129349.92,1952054
24698,2012,QAT,127610.21,2109568
24699,2013,QAT,126913.04,2250473
24700,2014,QAT,127318.9,2374419
24701,2015,QAT,127516.91,2481539
24702,2016,QAT,127480.48,2569804
24703,2017,QAT,128378.3,2639211
24704,1990,ROU,5262.05,23201835
24705,1991,ROU,4776.12,23001155
24706,1992,ROU,4497.17,22794284
24707,1993,ROU,4680.92,22763280
24708,1994,ROU,4975.73,22730211
24709,1995,ROU,5453.12,22684270
24710,1996,ROU,5775.14,22619004
24711,1997,ROU,5602.17,22553978
24712,1998,ROU,5577.18,22507344
24713,1999,ROU,5632.32,22472040
24714,2000,ROU,5877.08,22442971
24715,2001,ROU,6578.86,22131970
24716,2002,ROU,7179.14,21730496
24717,2003,ROU,7820.31,21574326
24718,2004,ROU,9134.36,21451748
24719,2005,ROU,9723.55,21319685
24720,2006,ROU,11689.1,21193760
24721,2007,ROU,13790.28,20882982
24722,2008,ROU,16726.73,20537875
24723,2009,ROU,16489.78,20367487
24724,2010,ROU,17027.14,20246871
24725,2011,ROU,17997.88,20147528
24726,2012,ROU,18983.27,20058035
24727,2013,ROU,19859.45,19983693
24728,2014,ROU,20609.58,19908979
24729,2015,ROU,21566.07,19815481
24730,2016,ROU,23050.01,19702332
24731,2017,ROU,25840.84,19586539
24732,1990,RSA,6267.09,37560525
24733,1991,RSA,6263.46,38437855
24734,1992,RSA,6122.42,39360225
24735,1993,RSA,6197.41,40300161
24736,1994,RSA,6388.35,41218901
24737,1995,RSA,6585.89,42088165
24738,1996,RSA,6862.8,42898520
24739,1997,RSA,7040.53,43657024
24740,1998,RSA,7038.47,44372112
24741,1999,RSA,7203.23,45058775
24742,2000,RSA,7560.86,45728315
24743,2001,RSA,7832.23,46385006
24744,2002,RSA,8131.74,47026173
24745,2003,RSA,8426.92,47648727
24746,2004,RSA,8940.67,48247395
24747,2005,RSA,9601.28,48820586
24748,2006,RSA,10335.64,49364582
24749,2007,RSA,11062.37,49887181
24750,2008,RSA,11518.1,50412129
24751,2009,RSA,11301.82,50970818
24752,2010,RSA,11647.33,51584663
24753,2011,RSA,12118.74,52263516
24754,2012,RSA,12440.26,52998213
24755,2013,RSA,12770,53767396
24756,2014,RSA,13051.83,54539571
24757,2015,RSA,13180.53,55291225
24758,2016,RSA,13250.59,56015473
24759,2017,RSA,13497.99,56717156
24760,1990,RUS,8012.8,148292000
24761,1991,RUS,7844.09,148624000
24762,1992,RUS,6854.09,148689000
24763,1993,RUS,6416.17,148520000
24764,1994,RUS,5736.16,148336000
24765,1995,RUS,5611.66,148375726
24766,1996,RUS,5515.99,148160042
24767,1997,RUS,5697.33,147915307
24768,1998,RUS,5460.35,147670692
24769,1999,RUS,5914.3,147214392
24770,2000,RUS,6825.41,146596557
24771,2001,RUS,7367.61,145976083
24772,2002,RUS,8029.12,145306046
24773,2003,RUS,9253.58,144648257
24774,2004,RUS,10231.43,144067054
24775,2005,RUS,11822.37,143518523
24776,2006,RUS,14916.19,143049528
24777,2007,RUS,16648.59,142805088
24778,2008,RUS,20163.59,142742350
24779,2009,RUS,19386.58,142785342
24780,2010,RUS,20497.93,142849449
24781,2011,RUS,24310.04,142960868
24782,2012,RUS,25784.57,143201676
24783,2013,RUS,26240.27,143506911
24784,2014,RUS,25797.5,143819666
24785,2015,RUS,24737.69,144096870
24786,2016,RUS,24818.91,144342396
24787,2017,RUS,25533,144495044
24788,1990,RWA,563.94,7235798
24789,1991,RWA,582.89,7051759
24790,1992,RWA,664.14,6701851
24791,1993,RWA,664.67,6299909
24792,1994,RWA,354.31,6005095
24793,1995,RWA,495.45,5928078
24794,1996,RWA,551.4,6115168
24795,1997,RWA,598.65,6522382
24796,1998,RWA,608.6,7059813
24797,1999,RWA,599.34,7593239
24798,2000,RWA,628.49,8025703
24799,2001,RWA,671.93,8329406
24800,2002,RWA,753.54,8536205
24801,2003,RWA,772.45,8680346
24802,2004,RWA,839.45,8818438
24803,2005,RWA,929.45,8991735
24804,2006,RWA,1021.98,9206580
24805,2007,RWA,1100.48,9447402
24806,2008,RWA,1213.8,9708169
24807,2009,RWA,1264.36,9977446
24808,2010,RWA,1337.56,10246842
24809,2011,RWA,1436.87,10516071
24810,2012,RWA,1549.66,10788853
24811,2013,RWA,1606.89,11065151
24812,2014,RWA,1716.97,11345357
24813,2015,RWA,1843.33,11629553
24814,2016,RWA,1930.7,11917508
24815,2017,RWA,2035.65,12208407
24816,1990,SCG,,7586000
24817,1991,SCG,,7595636
24818,1992,SCG,,7646424
24819,1993,SCG,,7699307
24820,1994,SCG,,7734639
24821,1995,SCG,4876.1,7625357
24822,1996,SCG,5090.63,7617794
24823,1997,SCG,5565.32,7596501
24824,1998,SCG,5784.35,7567745
24825,1999,SCG,5178.22,7540401
24826,2000,SCG,5725.25,7516346
24827,2001,SCG,6142.88,7503433
24828,2002,SCG,6800.89,7496522
24829,2003,SCG,7197.35,7480591
24830,2004,SCG,8067.34,7463157
24831,2005,SCG,8707.04,7440769
24832,2006,SCG,9611.43,7411569
24833,2007,SCG,10474.39,7381579
24834,2008,SCG,11921.81,7350222
24835,2009,SCG,11827.61,7320807
24836,2010,SCG,12087.1,7291436
24837,2011,SCG,12967.92,7234099
24838,2012,SCG,13107.98,7199077
24839,2013,SCG,13760.05,7164132
24840,2014,SCG,13771.38,7130576
24841,2015,SCG,13896.12,7095383
24842,2016,SCG,14514.96,7058322
24843,2017,SCG,15090.03,7022268
24844,1990,SEN,1192.4,7555617
24845,1991,SEN,1225.61,7789653
24846,1992,SEN,1231.19,8029725
24847,1993,SEN,1239.45,8272170
24848,1994,SEN,1229.93,8512173
24849,1995,SEN,1287.46,8746606
24850,1996,SEN,1303.45,8974077
24851,1997,SEN,1334.1,9196528
24852,1998,SEN,1394.49,9418393
24853,1999,SEN,1470.34,9645957
24854,2000,SEN,1514.34,9884052
24855,2001,SEN,1579.78,10134497
24856,2002,SEN,1573.79,10396861
24857,2003,SEN,1668.46,10670990
24858,2004,SEN,1767.77,10955944
24859,2005,SEN,1876.66,11251266
24860,2006,SEN,1929.54,11556763
24861,2007,SEN,2023.26,11873557
24862,2008,SEN,2081.01,12203957
24863,2009,SEN,2088.25,12550917
24864,2010,SEN,2139.82,12916229
24865,2011,SEN,2158.18,13300910
24866,2012,SEN,2227.47,13703513
24867,2013,SEN,2272.53,14120320
24868,2014,SEN,2337.11,14546111
24869,2015,SEN,2442.64,14976994
24870,2016,SEN,2566.12,15411614
24871,2017,SEN,2712.34,15850567
24872,1990,SEY,9188.61,69507
24873,1991,SEY,9627.45,70439
24874,1992,SEY,10503.78,70763
24875,1993,SEY,11184.56,72253
24876,1994,SEY,11033.28,74205
24877,1995,SEY,11007.38,75304
24878,1996,SEY,11588.22,76417
24879,1997,SEY,13042.46,77319
24880,1998,SEY,14015.12,78846
24881,1999,SEY,14214.02,80410
24882,2000,SEY,14626.46,81131
24883,2001,SEY,14607.24,81202
24884,2002,SEY,14559.35,83723
24885,2003,SEY,14134.48,82781
24886,2004,SEY,14161.52,82475
24887,2005,SEY,15859.92,82858
24888,2006,SEY,17516.55,84600
24889,2007,SEY,19755.67,85033
24890,2008,SEY,19274.85,86956
24891,2009,SEY,19131.33,87298
24892,2010,SEY,19953.16,89770
24893,2011,SEY,22556.58,87441
24894,2012,SEY,23034.65,88303
24895,2013,SEY,24361.19,89949
24896,2014,SEY,25515.54,91359
24897,2015,SEY,26468.87,93419
24898,2016,SEY,27641.44,94677
24899,2017,SEY,28963.92,95843
24900,1990,SIN,22198.1,3047132
24901,1991,SIN,23784.28,3135083
24902,1992,SIN,25279.63,3230698
24903,1993,SIN,28145.97,3313471
24904,1994,SIN,30900.88,3419048
24905,1995,SIN,32752.18,3524506
24906,1996,SIN,34433.67,3670704
24907,1997,SIN,36674.57,3796038
24908,1998,SIN,35036.91,3927213
24909,1999,SIN,37440.93,3958723
24910,2000,SIN,40983.99,4027887
24911,2001,SIN,40413.86,4138012
24912,2002,SIN,42374,4175950
24913,2003,SIN,45806.34,4114826
24914,2004,SIN,50918.82,4166664
24915,2005,SIN,55180.9,4265762
24916,2006,SIN,60007.97,4401365
24917,2007,SIN,64475.36,4588599
24918,2008,SIN,63447.48,4839396
24919,2009,SIN,61655.75,4987573
24920,2010,SIN,70657.03,5076732
24921,2011,SIN,75113.2,5183688
24922,2012,SIN,77690.79,5312437
24923,2013,SIN,81647.59,5399162
24924,2014,SIN,85227.07,5469724
24925,2015,SIN,87043.19,5535002
24926,2016,SIN,89103.16,5607283
24927,2017,SIN,93905.42,5612253
24928,1990,SKN,9259.51,52386
24929,1991,SKN,9321.31,53219
24930,1992,SKN,9857.93,54329
24931,1993,SKN,10674.33,55635
24932,1994,SKN,11337.92,56970
24933,1995,SKN,12092.41,58223
24934,1996,SKN,12893.05,59339
24935,1997,SKN,13866.86,60374
24936,1998,SKN,13775.83,61432
24937,1999,SKN,14297.02,62688
24938,2000,SKN,15989.91,64247
24939,2001,SKN,17016.85,66175
24940,2002,SKN,17476.84,68383
24941,2003,SKN,16939.39,70716
24942,2004,SKN,17782.95,72999
24943,2005,SKN,19702.29,75059
24944,2006,SKN,20423.91,76852
24945,2007,SKN,20689.53,78423
24946,2008,SKN,22178.11,79813
24947,2009,SKN,21435.72,81131
24948,2010,SKN,20979.06,82439
24949,2011,SKN,21689.3,83737
24950,2012,SKN,21711.95,85022
24951,2013,SKN,23180.11,86277
24952,2014,SKN,24737.96,87478
24953,2015,SKN,25737.62,88627
24954,2016,SKN,26382.79,89721
24955,2017,SKN,27066.93,90791
24956,1990,SLE,808.29,4312246
24957,1991,SLE,849.91,4337239
24958,1992,SLE,704.97,4331332
24959,1993,SLE,735.74,4307299
24960,1994,SLE,740.84,4283621
24961,1995,SLE,697.22,4274819
24962,1996,SLE,721.13,4282350
24963,1997,SLE,686.66,4305455
24964,1998,SLE,698.69,4353646
24965,1999,SLE,682.15,4437803
24966,2000,SLE,723.47,4564297
24967,2001,SLE,667.43,4739147
24968,2002,SLE,819.01,4957216
24969,2003,SLE,870.58,5199549
24970,2004,SLE,911.45,5439695
24971,2005,SLE,945.16,5658379
24972,2006,SLE,982.31,5848692
24973,2007,SLE,1059.51,6015417
24974,2008,SLE,1110.92,6165372
24975,2009,SLE,1128.52,6310260
24976,2010,SLE,1175.72,6458720
24977,2011,SLE,1246.25,6611692
24978,2012,SLE,1428.54,6766103
24979,2013,SLE,1712.83,6922079
24980,2014,SLE,1782.57,7079162
24981,2015,SLE,1399.52,7237025
24982,2016,SLE,1470.86,7396190
24983,2017,SLE,1526.35,7557212
24984,1990,SLO,,1998161
24985,1991,SLO,,1999429
24986,1992,SLO,,1996498
24987,1993,SLO,,1991746
24988,1994,SLO,,1989443
24989,1995,SLO,13555.14,1989872
24990,1996,SLO,14268.85,1988628
24991,1997,SLO,15263.9,1985956
24992,1998,SLO,16027.62,1981629
24993,1999,SLO,17067.16,1983045
24994,2000,SLO,18047.5,1988925
24995,2001,SLO,18971.07,1992060
24996,2002,SLO,20305.02,1994530
24997,2003,SLO,21132.18,1995733
24998,2004,SLO,22785.02,1997012
24999,2005,SLO,23945.26,2000474
25000,2006,SLO,25766.54,2006868
25001,2007,SLO,27600.87,2018122
25002,2008,SLO,29624.19,2021316
25003,2009,SLO,27471.05,2039669
25004,2010,SLO,27766.42,2048583
25005,2011,SLO,28804.7,2052843
25006,2012,SLO,28900.88,2057159
25007,2013,SLO,29796.81,2059953
25008,2014,SLO,30854.1,2061980
25009,2015,SLO,31468.36,2063531
25010,2016,SLO,32723.07,2065042
25011,2017,SLO,34868.21,2066748
25012,1990,SMR,,24043
25013,1991,SMR,,24386
25014,1992,SMR,,24749
25015,1993,SMR,,25141
25016,1994,SMR,,25516
25017,1995,SMR,,25877
25018,1996,SMR,,26209
25019,1997,SMR,49348.94,26508
25020,1998,SMR,53049.93,26799
25021,1999,SMR,58063.67,27096
25022,2000,SMR,59984.94,27418
25023,2001,SMR,63955.5,27762
25024,2002,SMR,64327.24,28121
25025,2003,SMR,67263.56,28494
25026,2004,SMR,71351.92,28866
25027,2005,SMR,74436.85,29240
25028,2006,SMR,78675.57,29614
25029,2007,SMR,85480.64,29977
25030,2008,SMR,87503.96,30351
25031,2009,SMR,75930.52,30723
25032,2010,SMR,72368.2,31110
25033,2011,SMR,66053.11,31504
25034,2012,SMR,61392.98,31914
25035,2013,SMR,59764.11,32303
25036,2014,SMR,59646.38,32657
25037,2015,SMR,60028.92,32960
25038,2016,SMR,60932.93,33203
25039,2017,SMR,62425.63,33400
25040,1990,SOL,1217.16,311840
25041,1991,SOL,1296.14,320753
25042,1992,SOL,1452.27,329953
25043,1993,SOL,1502.67,339456
25044,1994,SOL,1628.86,349225
25045,1995,SOL,1749.48,359225
25046,1996,SOL,1759.83,369469
25047,1997,SOL,1715.53,379947
25048,1998,SOL,1716.75,390643
25049,1999,SOL,1687.55,401538
25050,2000,SOL,1440,412609
25051,2001,SOL,1319.35,423853
25052,2002,SOL,1267.96,435262
25053,2003,SOL,1341.83,446769
25054,2004,SOL,1409.8,458324
25055,2005,SOL,1496.31,469885
25056,2006,SOL,1609.89,481422
25057,2007,SOL,1732.27,492940
25058,2008,SOL,1848.3,504477
25059,2009,SOL,1734.4,516079
25060,2010,SOL,1833.51,527790
25061,2011,SOL,2071.89,539614
25062,2012,SOL,2158.51,551531
25063,2013,SOL,2211.52,563513
25064,2014,SOL,2253.9,575504
25065,2015,SOL,2288.63,587482
25066,2016,SOL,2350.19,599419
25067,2017,SOL,2421.78,611343
25068,1990,SOM,,7397347
25069,1991,SOM,,7455936
25070,1992,SOM,,7488544
25071,1993,SOM,,7519811
25072,1994,SOM,,7583954
25073,1995,SOM,,7704894
25074,1996,SOM,,7892389
25075,1997,SOM,,8137475
25076,1998,SOM,,8422372
25077,1999,SOM,,8720231
25078,2000,SOM,,9011479
25079,2001,SOM,,9290823
25080,2002,SOM,,9564167
25081,2003,SOM,,9836397
25082,2004,SOM,,10116228
25083,2005,SOM,,10409925
25084,2006,SOM,,10718317
25085,2007,SOM,,11038596
25086,2008,SOM,,11369276
25087,2009,SOM,,11707990
25088,2010,SOM,,12053223
25089,2011,SOM,,12404725
25090,2012,SOM,,12763776
25091,2013,SOM,,13132349
25092,2014,SOM,,13513125
25093,2015,SOM,,13908129
25094,2016,SOM,,14317996
25095,2017,SOM,,14742523
25096,1990,SRI,2334.77,17329713
25097,1991,SRI,2493.26,17539633
25098,1992,SRI,2632.13,17740637
25099,1993,SRI,2850.5,17928576
25100,1994,SRI,3045.35,18098348
25101,1995,SRI,3253.12,18247121
25102,1996,SRI,3414.98,18372120
25103,1997,SRI,3675.04,18476505
25104,1998,SRI,3869.73,18570701
25105,1999,SRI,4076.32,18669103
25106,2000,SRI,4392.68,18781938
25107,2001,SRI,4392.68,18913054
25108,2002,SRI,4601.37,19059300
25109,2003,SRI,4931.54,19215307
25110,2004,SRI,5299.68,19372538
25111,2005,SRI,5766.4,19524558
25112,2006,SRI,6351.96,19670151
25113,2007,SRI,6914.79,19810789
25114,2008,SRI,7419.36,19945832
25115,2009,SRI,7690.43,20075086
25116,2010,SRI,8357.03,20198353
25117,2011,SRI,9193.36,20315017
25118,2012,SRI,10163.86,20425000
25119,2013,SRI,10595.72,20585000
25120,2014,SRI,11219.55,20771000
25121,2015,SRI,11798.39,20966000
25122,2016,SRI,12343.36,21203000
25123,2017,SRI,12810.95,21444000
25124,1990,SSD,,5768481
25125,1991,SSD,,5705378
25126,1992,SSD,,5599814
25127,1993,SSD,,5490915
25128,1994,SSD,,5431738
25129,1995,SSD,,5459519
25130,1996,SSD,,5591114
25131,1997,SSD,,5814006
25132,1998,SSD,,6099923
25133,1999,SSD,,6405864
25134,2000,SSD,,6700656
25135,2001,SSD,,6974442
25136,2002,SSD,,7237276
25137,2003,SSD,,7501642
25138,2004,SSD,,7787655
25139,2005,SSD,,8108877
25140,2006,SSD,,8468152
25141,2007,SSD,,8856800
25142,2008,SSD,,9263136
25143,2009,SSD,,9670667
25144,2010,SSD,,10067192
25145,2011,SSD,3373.96,10448857
25146,2012,SSD,1578.83,10818258
25147,2013,SSD,2008.09,11177490
25148,2014,SSD,2039.33,11530971
25149,2015,SSD,1997.03,11882136
25150,2016,SSD,1693.05,12230730
25151,2017,SSD,,12575714
25152,1990,STP,,113893
25153,1991,STP,,116294
25154,1992,STP,,118816
25155,1993,STP,,121407
25156,1994,STP,,123973
25157,1995,STP,,126454
25158,1996,STP,,128821
25159,1997,STP,,131107
25160,1998,STP,,133418
25161,1999,STP,,135886
25162,2000,STP,,138606
25163,2001,STP,1635.64,141622
25164,2002,STP,1661.88,144889
25165,2003,STP,1764.04,148372
25166,2004,STP,1837.46,151969
25167,2005,STP,1983.34,155630
25168,2006,STP,2178.85,159328
25169,2007,STP,2256.19,163101
25170,2008,STP,2431.92,166913
25171,2009,STP,2452.54,170813
25172,2010,STP,2588.08,174776
25173,2011,STP,2695.63,178800
25174,2012,STP,2768.23,182889
25175,2013,STP,2882.87,187045
25176,2014,STP,3057.82,191266
25177,2015,STP,3138.7,195553
25178,2016,STP,3239.41,199910
25179,2017,STP,3351.44,204327
25180,1990,SUD,1126.85,20147590
25181,1991,SUD,1219.67,20893625
25182,1992,SUD,1295.33,21701476
25183,1993,SUD,1350.83,22535937
25184,1994,SUD,1357.02,23347885
25185,1995,SUD,1429.51,24102986
25186,1996,SUD,1500.41,24786190
25187,1997,SUD,1641.57,25410451
25188,1998,SUD,1683.49,26003542
25189,1999,SUD,1713.76,26607042
25190,2000,SUD,1812.47,27250535
25191,2001,SUD,1919.53,27945005
25192,2002,SUD,2016.67,28679565
25193,2003,SUD,2154.74,29435944
25194,2004,SUD,2237.19,30186341
25195,2005,SUD,2415.54,30911914
25196,2006,SUD,2668.22,31607064
25197,2007,SUD,2975.83,32282526
25198,2008,SUD,3187.31,32955496
25199,2009,SUD,3231.24,33650619
25200,2010,SUD,3298,34385963
25201,2011,SUD,3631.66,35167314
25202,2012,SUD,4172.54,35990192
25203,2013,SUD,4322.99,36849918
25204,2014,SUD,4403.43,37737913
25205,2015,SUD,4568.66,38647803
25206,2016,SUD,4730.46,39578828
25207,2017,SUD,4903.58,40533330
25208,1990,SUI,27609.05,6715519
25209,1991,SUI,27915.67,6799978
25210,1992,SUI,28226.6,6875364
25211,1993,SUI,28600.12,6938265
25212,1994,SUI,29344.79,6993795
25213,1995,SUI,29900.41,7040687
25214,1996,SUI,30535.45,7071850
25215,1997,SUI,31797.87,7088906
25216,1998,SUI,32891.72,7110001
25217,1999,SUI,33814.08,7143991
25218,2000,SUI,35748.88,7184250
25219,2001,SUI,36808.64,7229854
25220,2002,SUI,37718.3,7284753
25221,2003,SUI,37710.8,7339001
25222,2004,SUI,39184.02,7389625
25223,2005,SUI,40572.26,7437115
25224,2006,SUI,45112.28,7483934
25225,2007,SUI,49737.76,7551117
25226,2008,SUI,52584.73,7647675
25227,2009,SUI,51759.75,7743831
25228,2010,SUI,53119.39,7824909
25229,2011,SUI,56183.83,7912398
25230,2012,SUI,57849.58,7996861
25231,2013,SUI,60108.52,8089346
25232,2014,SUI,61902.16,8188649
25233,2015,SUI,63648.29,8282396
25234,2016,SUI,63881.67,8373338
25235,2017,SUI,64712.13,8466017
25236,1990,SUR,6815.6,407472
25237,1991,SUR,7103.38,415216
25238,1992,SUR,7121.24,422763
25239,1993,SUR,6647.35,430039
25240,1994,SUR,6897.03,437037
25241,1995,SUR,7010.81,443724
25242,1996,SUR,7128.37,450036
25243,1997,SUR,7566.79,455954
25244,1998,SUR,7674.19,461560
25245,1999,SUR,7633.74,467003
25246,2000,SUR,7713.11,472390
25247,2001,SUR,8155.71,477740
25248,2002,SUR,8542.15,483044
25249,2003,SUR,9136.1,488332
25250,2004,SUR,10146.13,493630
25251,2005,SUR,10834.59,498946
25252,2006,SUR,11473.25,504307
25253,2007,SUR,12249.54,509705
25254,2008,SUR,12869.9,515148
25255,2009,SUR,13218.06,520619
25256,2010,SUR,13924.39,526103
25257,2011,SUR,14887.94,531589
25258,2012,SUR,15411,537077
25259,2013,SUR,15956.95,542540
25260,2014,SUR,16124.69,547928
25261,2015,SUR,15724.64,553208
25262,2016,SUR,14966.71,558368
25263,2017,SUR,15114.3,563402
25264,1990,SVK,,5299187
25265,1991,SVK,,5303294
25266,1992,SVK,7135.44,5305016
25267,1993,SVK,7429.33,5325305
25268,1994,SVK,8026.59,5346331
25269,1995,SVK,8647.47,5361999
25270,1996,SVK,9358.73,5373361
25271,1997,SVK,10063.74,5383291
25272,1998,SVK,10604.54,5390516
25273,1999,SVK,10700.71,5396020
25274,2000,SVK,11354.83,5388720
25275,2001,SVK,12381.66,5378867
25276,2002,SVK,13294.49,5376912
25277,2003,SVK,14138.78,5373374
25278,2004,SVK,15193.62,5372280
25279,2005,SVK,16616.13,5372807
25280,2006,SVK,18867.09,5373054
25281,2007,SVK,21161.49,5374622
25282,2008,SVK,23691.64,5379233
25283,2009,SVK,23055.08,5386406
25284,2010,SVK,24986.61,5391428
25285,2011,SVK,25835,5398384
25286,2012,SVK,26647.42,5407579
25287,2013,SVK,27897.6,5413393
25288,2014,SVK,28927.67,5418649
25289,2015,SVK,29522.04,5423801
25290,2016,SVK,30460.38,5430798
25291,2017,SVK,31616.48,5439892
25292,1990,SWE,20107.98,8558835
25293,1991,SWE,20399.64,8617375
25294,1992,SWE,20502.32,8668067
25295,1993,SWE,20437.5,8718561
25296,1994,SWE,21571.76,8780745
25297,1995,SWE,22788.01,8826939
25298,1996,SWE,23600.17,8840998
25299,1997,SWE,24452.64,8846062
25300,1998,SWE,25483.41,8850974
25301,1999,SWE,27148.38,8857874
25302,2000,SWE,29275.84,8872109
25303,2001,SWE,29658.65,8895960
25304,2002,SWE,30587.76,8924958
25305,2003,SWE,31470.61,8958229
25306,2004,SWE,33540.02,8993531
25307,2005,SWE,33967.19,9029572
25308,2006,SWE,37423.16,9080505
25309,2007,SWE,40572.76,9148092
25310,2008,SWE,41853.7,9219637
25311,2009,SWE,39645.66,9298515
25312,2010,SWE,41627.97,9378126
25313,2011,SWE,43755.06,9449213
25314,2012,SWE,44724.97,9519374
25315,2013,SWE,45673.17,9600379
25316,2014,SWE,46524.18,9696110
25317,2015,SWE,47891.28,9799186
25318,2016,SWE,48904.55,9923085
25319,2017,SWE,50208.16,10067744
25320,1990,SWZ,3476.09,861373
25321,1991,SWZ,3554.94,885623
25322,1992,SWZ,3668.72,906034
25323,1993,SWZ,3797.28,924025
25324,1994,SWZ,3896.35,941774
25325,1995,SWZ,4087.03,960792
25326,1996,SWZ,4229.21,981764
25327,1997,SWZ,4336.86,1003995
25328,1998,SWZ,4401.58,1026009
25329,1999,SWZ,4514.48,1045629
25330,2000,SWZ,4628.37,1061468
25331,2001,SWZ,4732.68,1072927
25332,2002,SWZ,4978.68,1080930
25333,2003,SWZ,5243.65,1087392
25334,2004,SWZ,5544.02,1095053
25335,2005,SWZ,6006.34,1105873
25336,2006,SWZ,6476.09,1120514
25337,2007,SWZ,6834.03,1138434
25338,2008,SWZ,6901.3,1158897
25339,2009,SWZ,6932.27,1180675
25340,2010,SWZ,7148.91,1202843
25341,2011,SWZ,7324,1225258
25342,2012,SWZ,7667.53,1248158
25343,2013,SWZ,8139.69,1271456
25344,2014,SWZ,8291.6,1295097
25345,2015,SWZ,8261.75,1319011
25346,2016,SWZ,8329.56,1343098
25347,2017,SWZ,8496.27,1367254
25348,1990,SXM,,
25349,1991,SXM,,
25350,1992,SXM,,
25351,1993,SXM,,
25352,1994,SXM,,
25353,1995,SXM,,
25354,1996,SXM,,
25355,1997,SXM,,
25356,1998,SXM,,31240
25357,1999,SXM,,31084
25358,2000,SXM,,30519
25359,2001,SXM,,30600
25360,2002,SXM,,30777
25361,2003,SXM,,31472
25362,2004,SXM,,32488
25363,2005,SXM,,33011
25364,2006,SXM,,33441
25365,2007,SXM,,33811
25366,2008,SXM,,33964
25367,2009,SXM,,34238
25368,2010,SXM,,34056
25369,2011,SXM,36327.23,33435
25370,2012,SXM,,34640
25371,2013,SXM,,36607
25372,2014,SXM,,37685
25373,2015,SXM,,38824
25374,2016,SXM,,39969
